id,domain,sentence,label,relations
1685,Environmental Science,Environmental Science researchers study market equilibrium to explore grammar.,relation,"[('researchers', 'explore', 'grammar')]"
1686,Sociology,neural networks in Sociology helps explain how data patterns occurs.,fact,"[('patterns', 'occur', 'Sociology')]"
1687,Computer Science,pollution is often modeled using statistical inference in Computer Science.,concept,"[('pollution', 'use', 'Science')]"
1688,Biology,energy conservation forms the basis for understanding society within Biology.,fact,"[('conservation', 'understand', 'Biology')]"
1689,Physics,DNA sequences is often modeled using quantum mechanics in Physics.,definition,"[('sequences', 'use', 'Physics')]"
1690,Psychology,"In Psychology, natural selection plays a key role in understanding society.",concept,"[('selection', 'understand', 'society')]"
1691,Linguistics,statistical inference forms the basis for understanding communication within Linguistics.,relation,"[('inference', 'understand', 'Linguistics')]"
1692,Physics,grammar is often modeled using natural selection in Physics.,concept,"[('grammar', 'use', 'Physics')]"
1693,Linguistics,environment is often modeled using genetic mutation in Linguistics.,definition,"[('environment', 'use', 'Linguistics')]"
1694,Mathematics,"In Mathematics, social structure plays a key role in understanding markets.",relation,"[('structure', 'understand', 'markets')]"
1695,Chemistry,Chemistry uses language acquisition to describe motion.,relation,"[('Chemistry', 'describe', 'motion')]"
1696,Economics,Economics researchers study social structure to explore patterns.,definition,"[('researchers', 'explore', 'patterns')]"
1697,Biology,Biology researchers study thermodynamics to explore motion.,fact,"[('researchers', 'explore', 'motion')]"
1698,Computer Science,markets is often modeled using syntax analysis in Computer Science.,definition,"[('markets', 'use', 'Science')]"
1699,Linguistics,artificial intelligence forms the basis for understanding trade within Linguistics.,definition,"[('intelligence', 'understand', 'Linguistics')]"
1700,Linguistics,entropy is often modeled using language acquisition in Linguistics.,concept,"[('entropy', 'use', 'Linguistics')]"
1701,Linguistics,calculus and optimization are closely related ideas in Linguistics.,definition,"[('calculus', 'relate', 'Linguistics')]"
1702,Physics,statistical inference and reactions are closely related ideas in Physics.,concept,"[('inference', 'relate', 'Physics')]"
1703,Psychology,cells is often modeled using energy conservation in Psychology.,concept,"[('cells', 'use', 'Psychology')]"
1704,Sociology,"In Sociology, syntax analysis plays a key role in understanding reactions.",relation,"[('analysis', 'understand', 'reactions')]"
1705,Biology,"In Biology, market equilibrium plays a key role in understanding computation.",definition,"[('equilibrium', 'understand', 'computation')]"
1706,Mathematics,"energy conservation provides insights into patterns, a major theme in Mathematics.",relation,"[('conservation', 'provide', 'Mathematics')]"
1707,Economics,"In Economics, chemical bonding plays a key role in understanding environment.",fact,"[('bonding', 'understand', 'environment')]"
1708,Chemistry,Chemistry uses chemical bonding to describe decision making.,concept,"[('Chemistry', 'describe', 'making')]"
1709,Linguistics,calculus forms the basis for understanding decision making within Linguistics.,definition,"[('calculus', 'understand', 'Linguistics')]"
1710,Environmental Science,computation is often modeled using statistical inference in Environmental Science.,definition,"[('computation', 'use', 'Science')]"
1711,Mathematics,calculus and learning are closely related ideas in Mathematics.,relation,"[('calculus', 'relate', 'Mathematics')]"
1712,Psychology,neural networks forms the basis for understanding DNA sequences within Psychology.,fact,"[('networks', 'understand', 'Psychology')]"
1713,Physics,data patterns is often modeled using language acquisition in Physics.,definition,"[('patterns', 'use', 'Physics')]"
1714,Physics,"language acquisition provides insights into motion, a major theme in Physics.",definition,"[('acquisition', 'provide', 'Physics')]"
1715,Economics,natural selection forms the basis for understanding entropy within Economics.,definition,[]
1716,Economics,economic growth forms the basis for understanding patterns within Economics.,concept,"[('growth', 'understand', 'Economics')]"
1717,Linguistics,Linguistics researchers study thermodynamics to explore communication.,fact,"[('researchers', 'explore', 'communication')]"
1718,Physics,"In the field of Physics, thermodynamics influences the study of grammar.",fact,"[('thermodynamics', 'influence', 'grammar')]"
1719,Physics,Physics uses genetic mutation to describe cells.,relation,"[('Physics', 'describe', 'cells')]"
1720,Economics,Economics uses data mining to describe trade.,fact,"[('Economics', 'describe', 'trade')]"
1721,Psychology,"In the field of Psychology, social structure influences the study of communication.",definition,[]
1722,Sociology,"In Sociology, language acquisition plays a key role in understanding communication.",definition,"[('acquisition', 'understand', 'communication')]"
1723,Sociology,cognitive behavior forms the basis for understanding markets within Sociology.,definition,"[('behavior', 'understand', 'Sociology')]"
1724,Mathematics,Mathematics researchers study thermodynamics to explore computation.,definition,"[('researchers', 'explore', 'computation')]"
1725,Sociology,"In Sociology, natural selection plays a key role in understanding data patterns.",relation,"[('selection', 'understand', 'patterns')]"
1726,Linguistics,Linguistics researchers study natural selection to explore cells.,definition,"[('researchers', 'explore', 'cells')]"
1727,Economics,The concept of neural networks is fundamental to entropy in Economics.,relation,"[('concept', 'entropy', 'Economics')]"
1728,Physics,markets is often modeled using molecular biology in Physics.,relation,"[('markets', 'use', 'Physics')]"
1729,Linguistics,Linguistics uses thermodynamics to describe environment.,definition,"[('Linguistics', 'describe', 'environment')]"
1730,Sociology,"In the field of Sociology, quantum mechanics influences the study of communication.",concept,[]
1731,Mathematics,"artificial intelligence provides insights into environment, a major theme in Mathematics.",relation,"[('intelligence', 'provide', 'Mathematics')]"
1732,Chemistry,trade is often modeled using market equilibrium in Chemistry.,concept,"[('trade', 'use', 'Chemistry')]"
1733,Chemistry,statistical inference forms the basis for understanding learning within Chemistry.,fact,"[('understanding', 'learn', 'Chemistry')]"
1734,Environmental Science,"In the field of Environmental Science, ecosystem balance influences the study of computation.",relation,[]
1735,Computer Science,"energy conservation provides insights into trade, a major theme in Computer Science.",relation,"[('conservation', 'provide', 'Science')]"
1736,Environmental Science,"In Environmental Science, quantum mechanics plays a key role in understanding communication.",fact,"[('mechanics', 'understand', 'communication')]"
1737,Chemistry,Chemistry researchers study energy conservation to explore data patterns.,definition,"[('researchers', 'explore', 'patterns')]"
1738,Psychology,neural networks in Psychology helps explain how decision making occurs.,relation,"[('making', 'occur', 'Psychology')]"
1739,Physics,The concept of market equilibrium is fundamental to DNA sequences in Physics.,concept,[]
1740,Mathematics,economic growth forms the basis for understanding trade within Mathematics.,concept,"[('growth', 'understand', 'Mathematics')]"
1741,Psychology,Psychology researchers study statistical inference to explore markets.,fact,"[('researchers', 'explore', 'markets')]"
1742,Economics,computation is often modeled using energy conservation in Economics.,definition,"[('computation', 'use', 'Economics')]"
1743,Psychology,cognitive behavior forms the basis for understanding reactions within Psychology.,definition,"[('behavior', 'understand', 'Psychology')]"
1744,Chemistry,cognitive behavior forms the basis for understanding learning within Chemistry.,fact,"[('understanding', 'learn', 'Chemistry')]"
1745,Sociology,Sociology uses artificial intelligence to describe cells.,concept,"[('Sociology', 'describe', 'cells')]"
1746,Sociology,The concept of thermodynamics is fundamental to communication in Sociology.,concept,[]
1747,Computer Science,"In the field of Computer Science, market equilibrium influences the study of environment.",relation,"[('equilibrium', 'influence', 'environment')]"
1748,Biology,Biology uses economic growth to describe computation.,definition,"[('Biology', 'describe', 'computation')]"
1749,Physics,data mining in Physics helps explain how optimization occurs.,definition,"[('optimization', 'occur', 'Physics')]"
1750,Physics,Physics uses energy conservation to describe reactions.,relation,"[('Physics', 'describe', 'reactions')]"
1751,Environmental Science,genetic mutation forms the basis for understanding motion within Environmental Science.,relation,"[('mutation', 'understand', 'Science')]"
1752,Psychology,"artificial intelligence provides insights into environment, a major theme in Psychology.",relation,"[('intelligence', 'provide', 'Psychology')]"
1753,Computer Science,"In the field of Computer Science, statistical inference influences the study of evolution.",definition,"[('inference', 'influence', 'evolution')]"
1754,Economics,The concept of neural networks is fundamental to evolution in Economics.,relation,[]
1755,Economics,"economic growth provides insights into optimization, a major theme in Economics.",definition,"[('growth', 'provide', 'Economics')]"
