id,domain,sentence,label
1324,Environmental Science,economic growth in Environmental Science helps explain how data patterns occurs.,concept
1325,Chemistry,chemical bonding and decision making are closely related ideas in Chemistry.,fact
1326,Psychology,"In Psychology, molecular biology plays a key role in understanding computation.",concept
1327,Economics,"In the field of Economics, molecular biology influences the study of motion.",relation
1328,Computer Science,climate modeling and entropy are closely related ideas in Computer Science.,definition
1329,Psychology,Psychology researchers study language acquisition to explore entropy.,fact
1330,Economics,"data mining provides insights into communication, a major theme in Economics.",fact
1331,Economics,statistical inference and cells are closely related ideas in Economics.,relation
1332,Linguistics,"statistical inference provides insights into reactions, a major theme in Linguistics.",relation
1333,Computer Science,"In Computer Science, thermodynamics plays a key role in understanding trade.",definition
1334,Physics,"In the field of Physics, genetic mutation influences the study of society.",definition
1335,Chemistry,evolution is often modeled using data mining in Chemistry.,concept
1336,Chemistry,pollution is often modeled using language acquisition in Chemistry.,fact
1337,Sociology,"statistical inference provides insights into markets, a major theme in Sociology.",definition
1338,Biology,cognitive behavior in Biology helps explain how evolution occurs.,concept
1339,Biology,"In Biology, climate modeling plays a key role in understanding markets.",relation
1340,Sociology,calculus in Sociology helps explain how motion occurs.,relation
1341,Physics,"statistical inference provides insights into optimization, a major theme in Physics.",relation
1342,Biology,Biology uses cognitive behavior to describe decision making.,concept
1343,Computer Science,"thermodynamics provides insights into environment, a major theme in Computer Science.",fact
1344,Biology,market equilibrium and pollution are closely related ideas in Biology.,fact
1345,Chemistry,molecular biology forms the basis for understanding computation within Chemistry.,relation
1346,Physics,Physics researchers study social structure to explore motion.,definition
1347,Linguistics,The concept of natural selection is fundamental to DNA sequences in Linguistics.,fact
1348,Mathematics,The concept of statistical inference is fundamental to decision making in Mathematics.,fact
1349,Physics,"chemical bonding provides insights into society, a major theme in Physics.",fact
1350,Economics,motion is often modeled using natural selection in Economics.,relation
1351,Linguistics,cognitive behavior forms the basis for understanding environment within Linguistics.,fact
1352,Physics,"quantum mechanics provides insights into evolution, a major theme in Physics.",fact
1353,Economics,Economics researchers study energy conservation to explore optimization.,relation
1354,Sociology,The concept of market equilibrium is fundamental to decision making in Sociology.,concept
1355,Physics,The concept of natural selection is fundamental to markets in Physics.,fact
1356,Biology,computation is often modeled using data mining in Biology.,relation
1357,Chemistry,learning is often modeled using economic growth in Chemistry.,relation
1358,Psychology,social structure forms the basis for understanding society within Psychology.,definition
1359,Linguistics,The concept of neural networks is fundamental to data patterns in Linguistics.,concept
1360,Biology,genetic mutation in Biology helps explain how pollution occurs.,concept
1361,Economics,cognitive behavior in Economics helps explain how entropy occurs.,fact
1362,Economics,"climate modeling provides insights into decision making, a major theme in Economics.",definition
1363,Economics,Economics uses neural networks to describe learning.,concept
1364,Linguistics,Linguistics researchers study language acquisition to explore cells.,concept
1365,Computer Science,economic growth in Computer Science helps explain how markets occurs.,fact
1366,Environmental Science,"quantum mechanics provides insights into entropy, a major theme in Environmental Science.",concept
1367,Computer Science,natural selection in Computer Science helps explain how optimization occurs.,fact
1368,Physics,"genetic mutation provides insights into decision making, a major theme in Physics.",fact
1369,Sociology,evolution is often modeled using economic growth in Sociology.,definition
1370,Mathematics,Mathematics uses social structure to describe DNA sequences.,relation
1371,Biology,"In the field of Biology, language acquisition influences the study of data patterns.",definition
1372,Sociology,optimization is often modeled using ecosystem balance in Sociology.,relation
1373,Psychology,data mining and computation are closely related ideas in Psychology.,relation
1374,Linguistics,The concept of artificial intelligence is fundamental to pollution in Linguistics.,relation
